Roster

  System.X
  autoregulation.total_peripheral_resistance
  autoregulation.tpr_limit
  autoregulation.tpr_slope
  autoregulation.tpr_setpoint
  baroreceptor_reflex.affna
  baroreceptor_reflex.sympathetics
  fluids.total_body_water
  fluids.intake
  fluids.distribution
  fluids.extracellular
  fluids.intracellular
  fluids.blood_volume
  fluids.ideal_blood_volume
  fluids.unstressed_blood_volume
  heart.cardiac_output
  cardiac_output.plateau_multiplier
  cardiac_output.setpoint
  cardiac_output.ideal_cardiac_output
  cardiac_output.plateau
  heart.right_atrial_pressure
  heart.stroke_volume
  heart.mcfp_slope
  heart.mean_circulatory_filling_pressure
  heart.resistance_to_venous_return
  blood_flow.blood_flow
  renal_function.MAP_ideal
  renal_function.mean_arterial_pressure
  renal_function.bn
  renal_function.a_n
  renal_function.base_n
  renal_function.urine_output
  energy.energy_excess
  energy.ToWeightGain
  energy.metabolic_need/min
  energy.energy_excess
  growth.height
  growth.body_surface_area
  weight.calculated_weight
  weight.ideal
  weight.dry_percent
  weight.dry
  weight.real
10,0.0174404035568032,0.0600200992466602,0.000175110428014072,475.890181289698,1.37714088463439,0.955295952895212,3499.9493448451,0.452209881190017,0.670449430555556,1404.7351582767,2095.2141865684,463.562602231312,475.890181289698,277.719927119022,1247.36308781274,1.06159031831779,2.04183129979699,1174.99499984415,1247.36331590635,9.15615726308202,8.31575391875161,0.0468390392936456,8.70469236202077,0.00455937276382123,109.767951727521,43.0037037037037,46.3437944385394,0.218775533090018,0.0218775533090018,1.05500328288117,0.249923173828563,33.9483334873724,0.00449939248416001,-0.228110084621815,33.9483334873724,21.0002314814815,0.268740056123332,1.20003065453148,4.78003316900209,0.260007036364742,1.2428422579974,4.7427916028425,
11,0.0305515775621446,0.0600221084038362,0.000175113763180929,475.881117620849,0.389049222113613,1.67294185004832,3499.85731563076,0.452201462654027,0.670447673611111,1404.69601790217,2095.16129772859,463.549685907716,475.881117620849,277.721217927481,1247.31468834787,1.06159234664732,2.04183443064054,1174.97312562577,1247.3424776806,3.79021907350143,8.31543125565245,0.0820274400245518,15.2430335121031,0.0039870769144865,109.763692574612,43.0040740740741,25.6810840044133,0.218771500611279,0.0218771500611279,1.05500279637296,0.144760316130487,34.5438615263324,0.00449933174610823,-0.228107461811351,34.5438615263324,21.0002546296296,0.268737685318501,1.2000351868723,4.78005538601516,0.260007739911652,1.24285139757032,4.74270871320108,
12,0.0174663701549379,0.0600241174215159,0.000175109083852804,475.893834287791,1.36708410822752,0.95612738313399,3499.98235296797,0.452213936404696,0.670445916666667,1404.74399891692,2095.23835405106,463.565519642583,475.893834287791,277.722508727993,1247.37901065987,1.0615943749931,2.04183756164117,1175.00553667045,1247.3792683151,8.95505076756831,8.31586007106577,0.0468794452300083,8.71221725155033,0.00453917846754604,109.769352938068,43.0044444444444,45.6034167475488,0.218777475537849,0.0218777475537849,1.05500230987335,0.240410445355079,34.9966748613366,0.00449927101051623,-0.22810479589839,34.9966748613366,21.0002777777778,0.268741833323419,1.20003979371382,4.78007760289145,0.26000844344228,1.24286053706111,4.74284289002908,
13,0.0301322279550329,0.0600261262997111,0.000175111800514134,475.886451333741,0.406119626466667,1.64896078248154,3499.90707409952,0.452207142126147,0.670444159722222,1404.71158149382,2095.1954926057,463.554821892959,475.886451333741,277.72379952056,1247.33539560938,1.06159640335512,2.04184069279888,1174.98788282507,1247.36291039294,3.79990142620459,8.31556930406252,0.0808506976473107,15.0245678033215,0.00398863120308153,109.765514813625,43.0048148148148,25.7326707929306,0.218774221078424,0.0218774221078424,1.05500182338235,0.143078268895315,35.3410359798127,0.00449921027738385,-0.228102097215968,35.3410359798127,21.0003009259259,0.268739965561234,1.20004445720075,4.78009981963098,0.260009146956627,1.24286967646978,4.74277675056929,
14,0.017494926336208,0.0600281350384337,0.000175107005044854,475.899483929768,1.35600093493442,0.957099921959914,3500.03526077554,0.452219928484075,0.670442402777778,1404.76082631714,2095.2744344584,463.571072684655,475.899483929768,277.725090305181,1247.40027169674,1.06159843173338,2.04184382411368,1175.02110612968,1247.40056352089,8.75361490071977,8.31600181131159,0.0469265722416579,8.7211149179523,0.00451890028795925,109.771223909313,43.0051851851852,44.860608391947,0.218780345743872,0.0218780345743872,1.05500133689995,0.231264919336821,35.6028983477691,0.00449914954671093,-0.228099373628674,35.6028983477691,21.0003240740741,0.268744208116143,1.20004916374318,4.78012203623375,0.260009850454695,1.24287881579633,4.74291407657186,
15,0.029707058904193,0.0600301436376956,0.000175109129696757,475.893709697746,0.423152985241291,1.62469182080193,3499.97601489309,0.452214684116291,0.670440645833333,1404.73484387437,2095.24117101871,463.562498478544,475.893709697746,277.726381081856,1247.36127709646,1.06160046012789,2.04184695558556,1175.00747947936,1247.38848086899,3.81100695907414,8.31574184730976,0.0796595438144983,14.8036203360777,0.00399032937789283,109.767792384489,43.0055555555556,25.7896189796942,0.218777833691704,0.0218777833691704,1.05500085042616,0.141401955180856,35.8020898315387,0.00449908881849732,-0.228096631106889,35.8020898315387,21.0003472222222,0.268742821851584,1.20005390302434,4.78014425269975,0.260010553936483,1.24288795504076,4.74286396993384,
16,0.0175262900466171,0.0600321520975085,0.000175104223562673,475.9070434615,1.34390177838395,0.958225225324792,3500.1072038425,0.452227764882739,0.670438888888889,1404.78529346083,2095.32191038167,463.579146842074,475.9070434615,277.727671850585,1247.42661477421,1.06160248853863,2.04185008721454,1175.04146775739,1247.42694630733,8.5515877952656,8.31617743182809,0.0469809995420263,8.73148806146006,0.00449850967794206,109.773542100131,43.0059259259259,44.1143301025205,0.218784099378832,0.0218784099378832,1.05500036396097,0.222462413420876,35.9535934673144,0.00449902809274286,-0.228093874197592,35.9535934673144,21.0003703703704,0.268747154531097,1.20005866718706,4.78016646902899,0.260011257401992,1.24289709420307,4.74300429804557,
17,0.0292752278223679,0.0600341604178842,0.000175105780667781,475.902811520754,0.440221040747179,1.60008940776631,3500.0633290106,0.452224003659464,0.670437131944444,1404.7654802754,2095.29784873521,463.572608490881,475.902811520754,277.728962611368,1247.39209722773,1.06160451696561,2.04185321900061,1175.03169482069,1247.41895479941,3.82354246635035,8.3159473148515,0.0784517733678469,14.5797635883939,0.00399217408210872,109.77050455604,43.0062962962963,25.8520026498158,0.218782297752883,0.0218782297752883,1.05499987750438,0.13972617613021,36.0688914212452,0.0044989673694474,-0.228091106349352,36.0688914212452,21.0003935185185,0.268746229881141,1.20006345027218,4.78018868522148,0.260011960851224,1.24290623328327,4.74296956229387,
18,0.0175600843417078,0.0600361685988347,0.000175099295149362,475.920438527459,1.33111178126262,0.959482397139447,3500.23730638974,0.452241204337304,0.670435375,1404.83310292588,2095.40420346387,463.594923965539,475.920438527459,277.730253364206,1247.46838190393,1.06160654540883,2.04185635094378,1175.07638802908,1247.46878488704,8.19590625476808,8.31645587935955,0.0470413136052545,8.74331825789464,0.00446243668690427,109.777217607546,43.0066666666667,42.7956242596869,0.218790536877569,0.0218790536877569,1.0549993910564,0.207567016669614,36.1604311755423,0.00449890664861077,-0.228088331354394,36.1604311755423,21.0004166666667,0.268751847470325,1.20006824572659,4.7802109012772,0.26001266428418,1.24291537228136,4.74315267867111,
19,0.0288026650561363,0.0600381766403718,0.000175102393854178,475.912016387004,0.458635189060592,1.57329306715276,3500.1516711404,0.452233427460443,0.670433618055556,1404.79652903382,2095.35514210658,463.582854581162,475.912016387004,277.731544109098,1247.42378353743,1.06160857386829,2.04185948304406,1175.05618105925,1247.44971658944,3.85789025555891,8.31615855691619,0.0771364670419368,14.3359134849291,0.00399615919908998,109.773292951294,43.007037037037,25.9934266065372,0.218786811753552,0.0218786811753552,1.05499890461702,0.138429978207047,36.2293660298037,0.00449884593023283,-0.228085549475339,36.2293660298037,21.0004398148148,0.268749668744739,1.20007305309661,4.78023311719617,0.260013367700858,1.24292451119735,4.74307618233775,
