Roster

  System.X
  autoregulation.total_peripheral_resistance
  autoregulation.tpr_limit
  autoregulation.tpr_slope
  autoregulation.tpr_setpoint
  baroreceptor_reflex.affna
  baroreceptor_reflex.sympathetics
  fluids.total_body_water
  fluids.intake
  fluids.distribution
  fluids.extracellular
  fluids.intracellular
  fluids.blood_volume
  fluids.ideal_blood_volume
  fluids.unstressed_blood_volume
  heart.cardiac_output
  cardiac_output.plateau_multiplier
  cardiac_output.setpoint
  cardiac_output.ideal_cardiac_output
  cardiac_output.plateau
  heart.right_atrial_pressure
  heart.stroke_volume
  heart.mcfp_slope
  heart.mean_circulatory_filling_pressure
  heart.resistance_to_venous_return
  blood_flow.blood_flow
  renal_function.MAP_ideal
  renal_function.mean_arterial_pressure
  renal_function.bn
  renal_function.a_n
  renal_function.base_n
  renal_function.urine_output
  energy.energy_excess
  energy.ToWeightGain
  energy.metabolic_need/min
  energy.energy_excess
  growth.height
  growth.body_surface_area
  weight.calculated_weight
  weight.ideal
  weight.dry_percent
  weight.dry
  weight.real
30,0.0178490947615927,0.0600602558993734,0.000175069064930392,476.002618546383,1.22680735084164,0.971697880921409,3501.03598497542,0.452323627920126,0.670414291666667,1405.12720208166,2095.90878289376,463.691976686949,476.002618546383,277.745741778535,1247.7237783238,1.06163088799399,2.04189394651686,1175.29055251711,1247.72475291968,6.98974436471725,8.31815852215867,0.0476319870341712,8.85698865021051,0.00433892386564844,109.799692492494,43.0111111111111,38.2944272397201,0.21883001777374,0.021883001777374,1.05499355435153,0.16518711379029,36.4309314160166,0.00449817819030373,-0.228054781198856,36.4309314160166,21.0006944444444,0.268780546082941,1.20012622509301,4.78047748327944,0.260021104210312,1.24302503385485,4.74406101883027,
31,0.0259559339622284,0.0600622622688712,0.000175068373237836,476.004499225696,0.567976396529223,1.4126005744991,3501.05303368529,0.452325734151644,0.670412534722222,1405.1318400219,2095.92119366339,463.693507207227,476.004499225696,277.747032428089,1247.70969786396,1.06163291664827,2.04189708050264,1175.29602522261,1247.7329471822,3.96618690062993,8.3180646524264,0.0692444716914691,12.8757654089725,0.00401088509844507,109.798453412028,43.0114814814815,26.5004896971789,0.218831026658638,0.0218831026658638,1.05499306801537,0.127718621360592,36.4338057038893,0.00449811750141777,-0.228051979351012,36.4338057038893,21.0007175925926,0.268781450915319,1.20013106720513,4.78049969755747,0.260021807431735,1.24303417178576,4.74408720547105,
32,0.0179993761858149,0.0600642684991093,0.000175061705112794,476.022630304216,1.16927146434781,0.979282330341535,3501.23204203561,0.452343423404558,0.670410777777778,1405.20147960506,2096.03056243055,463.716488269669,476.022630304216,277.748323069698,1247.7427151521,1.0616349453188,2.04190021464557,1175.34198791513,1247.78412707116,3.41172484279244,8.31828476768067,0.0480017536701976,8.92679805642761,0.00399897068944746,109.801358933385,43.0118518518519,25.6280870511273,0.218839499810783,0.0218839499810783,1.0549925816878,0.0845028640728638,36.4360374012209,0.00449805681498846,-0.228049177336449,36.4360374012209,21.0007407407407,0.268787218974649,1.20013590962491,4.78052191169877,0.260022510636892,1.24304330963459,4.7442753516702,
33,0.0179440283652838,0.0600662745900993,0.000175058013185797,476.032669495042,1.19414609804818,0.975974005543365,3501.33040322007,0.45235335319152,0.670409020833333,1405.23875168353,2096.09165153654,463.728788055566,476.032669495042,277.749613703364,1247.81273146761,1.06163697400555,2.04190334894565,1175.36778887728,1247.81390272727,6.88893594316078,8.31875154311739,0.0478385796927936,8.89697955344779,0.0043275793622795,109.80752036915,43.0122222222222,37.8925333590478,0.218844256178738,0.0218844256178738,1.05499209536883,0.162384549181047,36.4380543299996,0.00449799613101565,-0.228046375191787,36.4380543299996,21.0007638888889,0.268790565358271,1.20014075228906,4.78054412570333,0.260023213825783,1.24305244740135,4.74438285062142,
34,0.0249880024004199,0.0600682805418533,0.000175057112421132,476.035118943695,0.605415759167061,1.35868184955068,3501.35312150371,0.452356004996534,0.670407263888889,1405.24566483941,2096.1074566643,463.731069397005,476.035118943695,277.750904329085,1247.82253581405,1.06163900270854,2.04190648340289,1175.37467916819,1247.82360220098,7.71295424195697,8.31881690542699,0.0665971379587764,12.3857467106243,0.00436564004034882,109.808383151636,43.0125925925926,39.7344291110485,0.21884552639334,0.021884552639334,1.05499160905847,0.24948325769842,36.4397559591238,0.00449793544949917,-0.228043572933548,36.4397559591238,21.000787037037,0.26879164040243,1.20014559516904,4.78056633957117,0.260023916998409,1.24306158508604,4.74441470658975,
35,0.0250807685619815,0.0600702863543828,0.000175051965728494,476.049114824471,0.602164533352827,1.36331150194701,3501.4909179407,0.452369729094772,0.670405506944444,1405.29876376987,2096.19215417084,463.748592044056,476.049114824471,277.752194946862,1247.84005332628,1.06164103142775,2.04190961801729,1175.41033904091,1247.86384469024,3.94328680161245,8.31893368884183,0.0668221003285051,12.4286699075692,0.0040099980028406,109.809924692712,43.012962962963,26.4562251509854,0.218852100236396,0.0218852100236396,1.0549911227567,0.122976306216147,36.4410769721074,0.00449787477043887,-0.228040770585981,36.4410769721074,21.0008101851852,0.268796170840955,1.20015043822294,4.78058855330227,0.260024620154771,1.24307072268867,4.74456164062937,
36,0.0180765290829736,0.0600722920276998,0.000175045310778649,476.067213469725,1.14672921549564,0.982284786382072,3501.66960535911,0.452387387542012,0.67040375,1405.36827380432,2096.30133155479,463.771530355426,476.067213469725,277.753485556695,1247.87711670732,1.0616430601632,2.04191275278885,1175.45622168982,1247.91494028265,3.496298519464,8.3191807780488,0.0481444167975088,8.95573028064777,0.0040039370803144,109.813186270244,43.0133333333333,25.8478466988397,0.218860558632624,0.0218860558632624,1.05499063646353,0.0857691885543842,36.4423356808416,0.00449781409383459,-0.22803796817836,36.4423356808416,21.0008333333333,0.268801929004594,1.20015528140017,4.78061076689665,0.26002532329487,1.24307986020924,4.74474946556834,
37,0.0180626257396461,0.0600742975618161,0.000175041263548184,476.078220895579,1.15464772614268,0.981231460554736,3501.77761833451,0.452398246039155,0.670401993055556,1405.40941900727,2096.36819932724,463.785108272398,476.078220895579,277.754776158585,1247.94564396019,1.06164508891488,2.04191588771757,1175.48443575674,1247.94727831702,6.50635463660639,8.31963762640127,0.0480916785128446,8.94651092565522,0.00428774011015876,109.819216668497,43.0137037037037,36.4479615112608,0.218865759852755,0.0218865759852755,1.05499015017896,0.151114540729737,36.4436266286122,0.00449775341968618,-0.228035165715479,36.4436266286122,21.0008564814815,0.268805565038318,1.20016012469244,4.7806329803543,0.260026026418706,1.24308899764774,4.74486661598225,
38,0.0240313276340908,0.0600763029567434,0.000175039332473987,476.083473100068,0.643750649251194,1.30507852843929,3501.82827187224,0.452403585693552,0.670400236111111,1405.42754337084,2096.4007285014,463.791089312377,476.083473100068,277.756066752531,1247.96284080497,1.06164711768278,2.04191902280347,1175.49830999407,1247.96439264619,7.1755712001137,8.31975227203316,0.0639632208443613,11.8993992327812,0.00431681814747142,109.820729990838,43.0140740740741,37.8951417783598,0.218868317547211,0.0218868317547211,1.05498966390298,0.217176864201186,36.4448056116632,0.00449769274799349,-0.22803236319486,36.4448056116632,21.0008796296296,0.268807478800843,1.20016496810405,4.78065519367523,0.26002672952628,1.24309813500419,4.74492640687643,
39,0.0240660616812793,0.0600783082124936,0.000175034029128632,476.097897924133,0.642664750544774,1.30656883979152,3501.9703455315,0.452417721370385,0.670398479166667,1405.4823582588,2096.4879872727,463.809178225405,476.097897924133,277.757357338533,1247.98296387722,1.06164914646692,2.04192215804654,1175.5350392879,1248.00577110196,3.98549850503523,8.31988642584811,0.0640343223415371,11.9137022708999,0.00401563488388549,109.822500821195,43.0144444444444,26.6517486588201,0.218875088536415,0.0218875088536415,1.05498917763561,0.119104619300086,36.4457907479117,0.00449763207875635,-0.228029560625114,36.4457907479117,21.0009027777778,0.268812137443284,1.20016981162011,4.78067740685944,0.260027432617593,1.24310727227859,4.74507761781009,
40,0.0181981857248927,0.0600803133290785,0.000175027440938799,476.115818675952,1.10547199426135,0.987697254855411,3502.14726233344,0.452435209497441,0.670396722222222,1405.55115690386,2096.59610542958,463.831881778275,476.115818675952,277.758647916592,1248.02291744943,1.06165117526728,2.04192529344678,1175.58047938707,1248.05639756256,3.61160489826658,8.32015278299617,0.0484047544230935,9.00682918978562,0.00401067310335046,109.826016735549,43.0148148148148,26.1458955539255,0.218883465349274,0.0218883465349274,1.05498869137683,0.0876337643778922,36.4468072913631,0.00449757141197461,-0.22802675802115,36.4468072913631,21.0009259259259,0.268817842163697,1.20017465521485,4.78069961990692,0.260028135692645,1.24311640947094,4.74526367180438,
41,0.0181908843085085,0.0600823183065099,0.000175022970354065,476.127980028866,1.1108503839703,0.987002243355112,3502.26677800793,0.452447174767047,0.670394965277778,1405.59691799939,2096.66986000854,463.846982939799,476.127980028866,277.759938486708,1248.08944600836,1.06165320408388,2.04192842900421,1175.6115692251,1248.0917892259,6.10234375043263,8.32059630672243,0.0483694580258786,9.00092948583359,0.00424560680738022,109.831871248736,43.0151851851852,34.9206356561112,0.218889196713416,0.0218889196713416,1.05498820512665,0.140075952266931,36.4479142979609,0.00449751074764811,-0.228023955380553,36.4479142979609,21.0009490740741,0.268821823378122,1.20017949889245,4.78072183281769,0.260028838751438,1.24312554658123,4.74539232458917,
42,0.023082185827736,0.0600843231447995,0.000175020084715681,476.135830174621,0.68340593984716,1.25201613786485,3502.34332590152,0.452455005888807,0.670393208333333,1405.62543431236,2096.71789158916,463.856393323079,476.135830174621,277.76122904888,1248.1134723297,1.0616552329167,2.04193156471882,1175.63191714161,1248.11577681728,6.63621197834297,8.32075648219803,0.0613558317440616,11.4180235875913,0.00426773735111855,109.833985565014,43.0155555555556,36.0469041565142,0.218892947820738,0.0218892947820738,1.05498771888507,0.188729001401956,36.4489782879078,0.0044974500857767,-0.228021152696368,36.4489782879078,21.0009722222222,0.268824514493504,1.20018434266493,4.78074404559174,0.260029541793972,1.24313468360948,4.745478009511,
43,0.0230671765998689,0.0600863278439592,0.00017501462485582,476.150683989894,0.684322513089941,1.25082395882318,3502.48967737692,0.452469553190158,0.670391451388889,1405.68196534949,2096.80771202743,463.87504856533,476.150683989894,277.762519603109,1248.12794346943,1.06165726176575,2.04193470059062,1175.66971597587,1248.15829140386,4.02682513598966,8.32085295646288,0.061295496055951,11.4078597849669,0.00402120669018736,109.83525902531,43.0159259259259,26.8447191059471,0.218899915978086,0.0218899915978086,1.05498723265209,0.115214315579877,36.4499275258759,0.00449738942636022,-0.228018349971903,36.4499275258759,21.0009953703704,0.268829301327189,1.20018918652657,4.78076625822908,0.260030244820248,1.24314382055569,4.7456334979326,
44,0.0183127325238611,0.0600883324040008,0.000175008105960861,476.16842017575,1.06542778028102,0.992713096236421,3502.66475709979,0.452486864594933,0.670389694444444,1405.75002591502,2096.91473118478,463.897508551955,476.16842017575,277.763810149395,1248.17871102062,1.06165929063102,2.04193783661961,1175.71469689048,1248.20843108521,3.72594002997823,8.3211914068041,0.0486451948457658,9.05451002615555,0.00401749360321341,109.839726569814,43.0162962962963,26.4454564362171,0.218908208140973,0.0218908208140973,1.0549867464277,0.0895083232320108,36.4509255395355,0.00449732876939852,-0.228015547215985,36.4509255395355,21.0010185185185,0.268834950592931,1.20019403046212,4.7807884707297,0.260030947830267,1.24315295741985,4.74581771451965,
45,0.0183127944199054,0.0600903368249361,0.000175003258743947,476.181609025128,1.06786891840611,0.992416916997899,3502.79451558511,0.452499815411982,0.6703879375,1405.79989718072,2096.99461840439,463.913966069638,476.181609025128,277.765100687738,1248.24316868008,1.06166131951252,2.04194097280579,1175.7483475158,1248.24654203829,5.72341718787211,8.32162112453387,0.0486293344620309,9.05229543438393,0.00420590369294126,109.845398843847,43.0166666666667,33.483352788081,0.218914411582339,0.0218914411582339,1.05498626021191,0.130421573848898,36.4520151976661,0.00449726811489143,-0.228012744424862,36.4520151976661,21.0010416666667,0.268839239112854,1.20019887447807,4.78081068309361,0.260031650824028,1.24316209420198,4.74595660978709,
46,0.0221991083195627,0.0600923411067768,0.00017499955745775,476.191680390121,0.722584397943856,1.20266341443135,3502.89320354084,0.452509776778301,0.670386180555556,1405.83729855496,2097.05590498588,463.926308523136,476.191680390121,277.766391218139,1248.27299207979,1.06166334841025,2.04194410914917,1175.77423053185,1248.27640656093,6.12597982017863,8.32181994719861,0.0589303582829115,10.9704706247007,0.00422122159329954,109.848023303022,43.017037037037,34.2962834325862,0.218919183076806,0.0218919183076806,1.05498577400471,0.165082112622191,36.4530859652421,0.00449720746283881,-0.22800994159149,36.4530859652421,21.0010648148148,0.268842594777052,1.20020371858658,4.7808328953208,0.260032353801534,1.24317123090207,4.74606443444291,
47,0.0221377557463496,0.0600943452495348,0.000174993943798143,476.206956221633,0.725627190840764,1.1989781882682,3503.04376342306,0.452524729025103,0.670384423611111,1405.89551784135,2097.14824558171,463.945520887645,476.206956221633,277.767681740596,1248.29282428462,1.0616653773242,2.04194724564975,1175.81308155205,1248.32003888869,4.06156554862656,8.32195216189749,0.0587478980740414,10.9375567178561,0.00402609374954071,109.849768537047,43.0174074074074,27.013189077985,0.218926345203024,0.0218926345203024,1.05498528780612,0.11144710620252,36.4540828608427,0.00449714681324049,-0.228007138717323,36.4540828608427,21.001087962963,0.268847507688535,1.20020856278516,4.78085510741129,0.260033056762785,1.24318036752013,4.74622413094319,
48,0.0184112537168561,0.0600963492532218,0.000174987488623099,476.224523187613,1.02981747149798,0.99685104059508,3503.21715904881,0.452541878427032,0.670382666666667,1405.96290171168,2097.25425733713,463.967757564856,476.224523187613,277.768972255111,1248.34299870446,1.06166740625438,2.04195038230754,1175.8576415282,1248.36973240563,3.82904240384691,8.32228665802971,0.0488422088350157,9.09435995692483,0.00402363958012551,109.854183885992,43.0177777777778,26.7159436094202,0.218934559766549,0.0218934559766549,1.05498480161611,0.0911987404874858,36.4551245022842,0.00449708616609633,-0.228004335808041,36.4551245022842,21.0011111111111,0.268853106079826,1.20021340706397,4.78087731936508,0.260033759707782,1.24318950405616,4.74640666310498,
49,0.0184173217922897,0.0600983531178497,0.000174982317419444,476.238596918213,1.0295602817974,0.99687954179928,3503.35573911679,0.452555678048692,0.670380909722222,1406.01631268657,2097.33942643022,463.985383186569,476.238596918213,277.770262761683,1248.40540017553,1.06166943520078,2.04195351912254,1175.89349763644,1248.41018549195,5.38192372001726,8.32270266783685,0.04884216187538,9.09514905543567,0.00417006263947467,109.859675215446,43.0181481481482,32.1867321715776,0.218941169785323,0.0218941169785323,1.05498431543471,0.12223145725517,36.4562434449793,0.00449702552140616,-0.228001532860204,36.4562434449793,21.0011342592593,0.268857659191136,1.20021825142897,4.78089953118215,0.260034462636525,1.24319864051016,4.74655437962696,
50,0.0214108960413752,0.0601003568434302,0.000174977949145584,476.250486076957,0.760402917346087,1.1585651057739,3503.47254661495,0.452567382825778,0.670379152777778,1406.06098542011,2097.41156119484,464.000125188637,476.250486076957,277.771553260313,1248.43991885122,1.06167146416341,2.04195665609474,1175.92391062635,1248.44485993943,5.66886791872898,8.3229327923415,0.0567625369247868,10.5708061905318,0.00417952774886275,109.862712858908,43.0185185185185,32.7276127377984,0.218946776373548,0.0218946776373548,1.0549838292619,0.146230724780692,36.4573530203818,0.00449696487916982,-0.227998729867871,36.4573530203818,21.0011574074074,0.268861558621228,1.20022309589043,4.78092174286253,0.260035165549014,1.24320777688214,4.74668032349709,
51,0.0213206172063593,0.0601023604299752,0.000174972192640396,476.266154500335,0.76512594062535,1.15333337264825,3503.62702173654,0.452582711812878,0.670377395833333,1406.12077525826,2097.50624647828,464.019855835226,476.266154500335,277.772843751,1248.46467675505,1.06167349314225,2.04195979322417,1175.96374054591,1248.48953223401,4.08819128645543,8.32309784503364,0.0565043553361301,10.5237673510996,0.00403008550810507,109.864891554444,43.0188888888889,27.1497577148163,0.218954118958368,0.0218954118958368,1.05498334309768,0.10799918044487,36.4584137155496,0.00449690423938717,-0.227995926831763,36.4584137155496,21.0011805555556,0.268866588781487,1.2002279404471,4.7809439544062,0.260035868445252,1.24321691317209,4.74684393490864,
52,0.018490469901542,0.0601043638774963,0.000174965790618835,476.283581142305,1.00062987844675,0.999936932905915,3503.79902128921,0.452599726926516,0.670375638888889,1406.18759801684,2097.61142327236,464.041907345558,476.283581142305,277.774134233745,1248.51433706503,1.06167552213733,2.04196293051081,1176.00795159542,1248.53885604772,3.91429427874134,8.32342891376687,0.0489873316897597,9.12476118454129,0.00402862200175657,109.869261661723,43.0192592592593,26.9376263547363,0.218962269197801,0.0218962269197801,1.05498285694206,0.0925801465046968,36.4595104545528,0.00449684360205805,-0.22799312375564,36.4595104545528,21.0012037037037,0.26887214493509,1.20023278509249,4.78096616581317,0.260036571325239,1.24322604938003,4.74702507066924,
53,0.0184993905288352,0.0601063671860055,0.000174960348204058,476.298396686665,0.998845674112688,1.00011916057745,3503.9449971692,0.452614238174257,0.670373881944444,1406.24397643106,2097.70102073815,464.060512222248,476.298396686665,277.775424708548,1248.57471009425,1.06167755114862,2.04196606795468,1176.04565675014,1248.58127289746,5.08544238372914,8.32383140062834,0.0489947350424505,9.12698850509345,0.00413900859727241,109.874574488294,43.0196296296296,31.0630892197784,0.218969220085469,0.0218969220085469,1.05498237079504,0.115478894276654,36.4606677868788,0.0044967829671823,-0.227990320636731,36.4606677868788,21.0012268518519,0.26887691979438,1.20023762983137,4.78098837708344,0.260037274188975,1.24323518550595,4.74718018267515,
54,0.0206867082217358,0.0601083703555144,0.00017495545524429,476.311717270978,0.798757431365704,1.11803518744158,3504.07607361319,0.452627315878394,0.670372125,1406.29437505115,2097.78169856204,464.077143766878,476.311717270978,277.776715175409,1248.61286157062,1.06167958017614,2.04196920555577,1176.07963707125,1248.61973533951,5.27809491728054,8.32408574380414,0.0547697794554336,10.2036333864075,0.00414411215221881,109.877931818215,43.02,31.3930764385101,0.218975484305751,0.0218975484305751,1.05498188465661,0.131396289833206,36.4618202144049,0.00449672233475976,-0.227987517470379,36.4618202144049,21.00125,0.268881247326519,1.20024247467182,4.78101058821702,0.260037977036461,1.24324432154985,4.74732039516304,
55,0.0206321506760136,0.0601103733860349,0.000174949586156684,476.327696246737,0.802071272029172,1.11475243670924,3504.2336463859,0.452642942943867,0.670370368055556,1406.35540728309,2097.87823910281,464.09728440342,476.327696246737,277.778005634328,1248.64218543048,1.06168160921987,2.04197234331409,1176.12024149976,1248.66523063154,4.12226989254217,8.32428123620322,0.0546071336914423,10.1743617650369,0.00403466372881874,109.880512317883,43.0203703703704,27.3096042054961,0.218982969670112,0.0218982969670112,1.05498139852678,0.10529193800342,36.4629403145178,0.00449666170479028,-0.227984714256962,36.4629403145178,21.0012731481481,0.268886370167614,1.20024731961316,4.7810327992139,0.260038679867697,1.24325345751174,4.74748710389764,
56,0.0185905223120709,0.0601123762775788,0.000174943233010425,476.34499431234,0.975329257265356,1.00414275190364,3504.40436697179,0.452659835039133,0.670368611111111,1406.42171592048,2097.98265105132,464.119166253758,476.34499431234,277.779296085304,1248.69134777897,1.06168363827983,2.04197548122964,1176.16413290572,1248.71421583759,3.98372716108847,8.3246089851931,0.0491870342381622,9.1655055739104,0.00403248625087623,109.884838604549,43.0207407407407,27.1137143422119,0.218991060983745,0.0218991060983745,1.05498091240553,0.0938575787423423,36.4640873016663,0.0044966010772737,-0.227981910998968,36.4640873016663,21.0012962962963,0.268891887591642,1.2002521646511,4.78105501007409,0.260039382682686,1.24326259339163,4.74766696036342,
57,0.0185897364528307,0.0601143790301578,0.000174937555113109,476.360454903196,0.976815425314931,1.00379984775154,3504.55677432554,0.45267496513132,0.670366854166667,1406.48067470493,2098.0760996206,464.138622652628,476.360454903196,277.780586528339,1248.74970056564,1.06168566735601,2.04197861930244,1176.20344602869,1248.75834054341,4.81195193403532,8.32499800377091,0.0491686415327982,9.16297147495142,0.00411074399032438,109.889973649776,43.0211111111111,30.0369631966798,0.218998308297902,0.0218998308297902,1.05498042629289,0.109718315711873,36.4652796337889,0.00449654045220987,-0.227979107694331,36.4652796337889,21.0013194444444,0.26889685521488,1.20025700978922,4.78107722079758,0.260040085481427,1.24327172918951,4.74782850351504,
58,0.0200350798768661,0.0601163816437837,0.00017493224866413,476.374904968684,0.838097933750984,1.08152132591446,3504.69911048088,0.452689126230572,0.670365097222222,1406.53559143399,2098.16351904689,464.156745173216,476.374904968684,277.781876963433,1248.78098237503,1.06168769644841,2.04198175753247,1176.24024137861,1248.79979233917,4.93637868442979,8.32520654916687,0.0529740281057198,9.87302750674488,0.00411343148951476,109.892726449003,43.0214814814815,30.2339330929264,0.219005091464444,0.0219005091464444,1.05497994018883,0.119468371260187,36.4664705306879,0.00449647982959863,-0.227976304339565,36.4664705306879,21.0013425925926,0.268901520460196,1.20026185503354,4.78109943138439,0.260040788263921,1.24328086490538,4.74797997538626,
59,0.0200072293350869,0.0601183841184684,0.000174926295455816,476.391117277059,0.840238234885196,1.07969518846955,3504.85901133147,0.452704977332055,0.670363340277778,1406.59755718065,2098.26145415082,464.177193869614,476.391117277059,277.783167390585,1248.82481939616,1.06168972555703,2.04198489591974,1176.28142792883,1248.84590639559,4.18074821150318,8.32549879597442,0.0528827822713253,9.85703471896617,0.00404175634326416,109.896584106862,43.0218518518518,27.5612626227547,0.219012684142054,0.0219012684142054,1.05497945409338,0.103372369333705,36.467640977769,0.00449641920943982,-0.227973500934783,36.467640977769,21.0013657407407,0.268906712861592,1.20026670038387,4.7811216418345,0.260041491030169,1.24329000053925,4.74814901187072,
60,0.0187463917774761,0.0601203864542235,0.000174920013246818,476.408226746172,0.951132041244036,1.01135168168759,3505.0278547476,0.452721688854905,0.670361583333333,1406.66311161632,2098.36474313127,464.198826833387,476.408226746172,277.784457809795,1248.88247667129,1.06169175468187,2.04198803446426,1176.32485014627,1248.89439422768,4.07254500144124,8.32588317780861,0.0495335818762356,9.23377141093689,0.00403841678724352,109.901657947074,43.0222222222222,27.3647728349308,0.219020688961499,0.0219020688961499,1.05497896800651,0.0958183512723259,36.4688299794873,0.0044963585917333,-0.227970697481559,36.4688299794873,21.0013888888889,0.268912173595802,1.20027154583748,4.78114385214793,0.260042193780171,1.24329913609113,4.74832699083872,
61,0.0187183375902379,0.0601223886510608,0.000174914136500475,476.424233058527,0.956365114266904,1.00953684384923,3505.18570371753,0.452737342554235,0.670359826388889,1406.72425347103,2098.46145024651,464.219003645438,476.424233058527,277.785748221064,1248.92870081147,1.06169378382292,2.04199117316604,1176.3655237786,1248.93996409933,4.55907145571142,8.32619133874313,0.0494430342860446,9.21782584000626,0.00408463608380986,109.905725671409,43.0225925925926,29.089028885957,0.219028187083478,0.0219028187083478,1.05497848192824,0.104895287822684,36.4700500221864,0.00449629797647889,-0.227967893978467,36.4700500221864,21.001412037037,0.268917304239662,1.20027639139685,4.78116606232468,0.260042896513929,1.24330827156101,4.74849397527854,
62,0.0194856937669453,0.0601243907089922,0.000174908475696117,476.439652233407,0.877736413762216,1.0506093133893,3505.33770133323,0.452752433274463,0.670358069444444,1406.78304682188,2098.55465451135,464.238405451221,476.439652233407,277.787038624391,1248.96622115013,1.0616958129802,2.04199431202507,1176.40473459983,1248.98398109472,4.63138694108376,8.32644147433417,0.0514529325959789,9.59346960976901,0.00408631208403678,109.909027461211,43.022962962963,29.2069338327896,0.219035415538468,0.0219035415538468,1.05497799585856,0.109856074379271,36.4712720495861,0.00449623736367646,-0.227965090423122,36.4712720495861,21.0014351851852,0.268922259176786,1.20028123706609,4.78118827236474,0.260043599231443,1.24331740694889,4.74865510828212,
63,0.0194767625528467,0.0601263926280294,0.000174902459529944,476.456040454172,0.878876143000814,1.04981484134728,3505.4993580093,0.452768453354465,0.6703563125,1406.84571640234,2098.65364160696,464.259086412772,476.456040454172,277.788329019778,1249.01141310943,1.06169784215369,2.04199745104135,1176.44636021369,1249.03056204844,4.24121645174002,8.32674275406289,0.0514122553847497,9.58688220087635,0.00404920814641362,109.91300435363,43.0233333333333,27.8246540389614,0.219043089156789,0.0219043089156789,1.05497750979747,0.101947434325143,36.4724842970118,0.00449617675332583,-0.227962286815374,36.4724842970118,21.0014583333333,0.268927503946325,1.20028608284547,4.78121048226812,0.260044301932714,1.24332654225479,4.74882590026409,
64,0.0188930207255476,0.0601283944081841,0.000174896259851485,476.472929747593,0.93445793960377,1.01804738791045,3505.66600950595,0.452784954022988,0.670354555555556,1406.91039031948,2098.75561918648,464.280428805427,476.472929747593,277.789619407223,1249.06383213617,1.0616998713434,2.0420005902149,1176.48923455991,1249.07846896915,4.17088283418291,8.32709221424111,0.0498547505391909,9.29745278039929,0.00404591084794669,109.917617227983,43.0237037037037,27.66706213588,0.219050992977011,0.0219050992977011,1.05497702374497,0.0980344644377096,36.4737078406313,0.00449611614542686,-0.227959483155976,36.4737078406313,21.0014814814815,0.268932898543567,1.20029092873369,4.78123269203481,0.260045004617743,1.2433356774787,4.74900168698465,
65,0.0188530053126781,0.0601303960494683,0.000174890241675056,476.489325734742,0.940194563422005,1.01558885585083,3505.82774486472,0.452800981694555,0.670352798611111,1406.97309105758,2098.85465380715,464.301120049,476.489325734742,277.790909786727,1249.11083868875,1.06170190054932,2.04200372954571,1176.53087989924,1249.12507124399,4.37210384965046,8.32740559125831,0.0497326425238284,9.27564561401771,0.00406519311976258,109.92175380461,43.0240740740741,28.3852525595799,0.219058670231692,0.0219058670231692,1.05497653770107,0.101632159955747,36.4749494173833,0.00449605553997939,-0.227956679444061,36.4749494173833,21.0015046296296,0.268938145502813,1.20029577473224,4.78125490166484,0.26004570728653,1.24334481262062,4.74917255748534,
66,0.0191250876462832,0.0601323975518935,0.000174884310893683,476.505484725807,0.910639257712213,1.02993923795026,3505.98711871199,0.452816782163484,0.670351041666667,1407.0348438574,2098.9522748546,464.321498472941,476.505484725807,277.79220015829,1249.15385156323,1.06170392977146,2.04200686903379,1176.57193488888,1249.17104693034,4.39866766634785,8.32769234375487,0.0504336598895629,9.40735519063993,0.00406571078796945,109.925538937564,43.0244444444444,28.4264990008648,0.219066238656309,0.0219066238656309,1.05497605166576,0.103298218710513,36.4761949779742,0.00449599493698326,-0.227953875678244,36.4761949779742,21.0015277777778,0.268943321502285,1.20030062084352,4.78127711115818,0.260046409939076,1.24335394768056,4.74934106639255,
67,0.0191165549894392,0.0601343989154716,0.00017487823901648,476.522029281645,0.912026616017468,1.0291738017054,3506.15033612467,0.452832952453022,0.670349284722222,1407.09813896236,2099.05219716231,464.342385857579,476.522029281645,277.793490521913,1249.20014476209,1.06170595900982,2.04201000867914,1176.61395079818,1249.21804301652,4.2615596078391,8.3280009650806,0.0503944285835581,9.40102498333489,0.00405266106022764,109.929612739064,43.0248148148148,27.9409837454384,0.219073984224998,0.0219073984224998,1.05497556563904,0.100576166521929,36.4774389644871,0.00449593433643833,-0.227951071858222,36.4774389644871,21.0015509259259,0.268948612772746,1.20030546706806,4.78129932051485,0.260047112575382,1.24336308265852,4.74951341878319,
68,0.018939334091134,0.0601364001402144,0.000174872092565492,476.538778205128,0.931604244829366,1.01933000516368,3506.31559111926,0.452849318799949,0.670347527777778,1407.16225158396,2099.15333953531,464.363543022706,476.538778205128,277.794780877594,1249.24898189377,1.06170798826439,2.04201314848177,1176.65647613123,1249.26558015156,4.22733264060446,8.32832654595848,0.0499106638849743,9.3117707788604,0.0040505292577016,109.933910406652,43.0251851851852,27.8506190489008,0.219081823705175,0.0219081823705175,1.05497507962092,0.0991358741371124,36.4786891739383,0.00449587373834442,-0.227948267984115,36.4786891739383,21.0015740740741,0.268953965108052,1.20031031340565,4.78132152973484,0.260047815195449,1.24337221755451,4.74968780867377,
